ID,Filename,Original URL,Archived URL,Alt Text,Caption,Associated Page,Recovered,Notes
AOFABD-IMG-001,AOFA-consttn-amendmt-apprvd-Roknul-Haq-5.jpg,https://aofabd.com/wp-content/uploads/2022/12/AOFA-consttn-amendmt-apprvd-Roknul-Haq-5.jpg,https://web.archive.org/web/20260308045759im_/https://aofabd.com/wp-content/uploads/2022/12/AOFA-consttn-amendmt-apprvd-Roknul-Haq-5-1087x1536.jpg,"Constitution Amendment Cover",Constitution amendment approved at EGM by Roknul Haq,Constitution page,YES - in archive,Hi-res: 1087x1536px
AOFABD-IMG-002,constitution_page_1.jpg,https://aofabd.com/wp-content/uploads/2022/12/1.jpg,https://web.archive.org/web/20260308045759im_/https://aofabd.com/wp-content/uploads/2022/12/1-1079x1536.jpg,"Constitution Page 1","",Constitution page,YES - in archive,1079x1536px
AOFABD-IMG-003,constitution_page_2.jpg,https://aofabd.com/wp-content/uploads/2022/12/2.jpg,https://web.archive.org/web/20260308045759im_/https://aofabd.com/wp-content/uploads/2022/12/2-1076x1536.jpg,"Constitution Page 2","",Constitution page,YES - in archive,1076x1536px
AOFABD-IMG-004,constitution_page_3.jpg,https://aofabd.com/wp-content/uploads/2022/12/3.jpg,https://web.archive.org/web/20260308045759im_/https://aofabd.com/wp-content/uploads/2022/12/3-1083x1536.jpg,"Constitution Page 3","",Constitution page,YES - in archive,1083x1536px
AOFABD-IMG-005,constitution_page_4.jpg,https://aofabd.com/wp-content/uploads/2022/12/4.jpg,https://web.archive.org/web/20260308045759im_/https://aofabd.com/wp-content/uploads/2022/12/4-1087x1536.jpg,"Constitution Page 4","",Constitution page,YES - in archive,1087x1536px
AOFABD-IMG-006,constitution_page_5.jpg,https://aofabd.com/wp-content/uploads/2022/12/5.jpg,https://web.archive.org/web/20260308045759im_/https://aofabd.com/wp-content/uploads/2022/12/5-1086x1536.jpg,"Constitution Page 5","",Constitution page,YES - in archive,1086x1536px
AOFABD-IMG-007,constitution_page_6.jpg,https://aofabd.com/wp-content/uploads/2022/12/6.jpg,https://web.archive.org/web/20260308045759im_/https://aofabd.com/wp-content/uploads/2022/12/6-1108x1536.jpg,"Constitution Page 6","",Constitution page,YES - in archive,1108x1536px
AOFABD-IMG-008,constitution_page_7.jpg,https://aofabd.com/wp-content/uploads/2022/12/7.jpg,https://web.archive.org/web/20260308045759im_/https://aofabd.com/wp-content/uploads/2022/12/7-1106x1536.jpg,"Constitution Page 7","",Constitution page,YES - in archive,1106x1536px
AOFABD-IMG-009,constitution_page_8.jpg,https://aofabd.com/wp-content/uploads/2022/12/8.jpg,https://web.archive.org/web/20260308045759im_/https://aofabd.com/wp-content/uploads/2022/12/8-1083x1536.jpg,"Constitution Page 8","",Constitution page,YES - in archive,1083x1536px
AOFABD-IMG-010,constitution_page_9.jpg,https://aofabd.com/wp-content/uploads/2022/12/9.jpg,https://web.archive.org/web/20260308045759im_/https://aofabd.com/wp-content/uploads/2022/12/9-1080x1536.jpg,"Constitution Page 9","",Constitution page,YES - in archive,1080x1536px
AOFABD-IMG-011,aofa_logo.png,https://aofabd.com/wp-content/uploads/[UNKNOWN],UNKNOWN,"AOFA Logo","Organization logo",All pages,UNKNOWN - URL not captured,Logo exists on site but full URL not recovered
AOFABD-IMG-012,homepage_hero.jpg,UNKNOWN,UNKNOWN,"AOFA Homepage Hero Image","",Homepage,UNKNOWN,Hero/banner image URL not captured
